row,col,cell,cellRiskIndex,infestedFlag,beetleHostBiomass,biomassBeetleKilled,susceptibilityLocal,susceptibilityIndex,beetleDroughtIndex,siDrought,beetleHostShare,siBeetleHost,DominantHostAgeOrMeanHostDBH,SiAgeOrDBH,windthrowBeetleHostBiomass,siWindLocal,siWind,beetlePressureIndex,bpiBase,beetleDamageIndex,beetleGenerationsIndex,relDegreeDays,susceptibilityLsc,beetlePressureLsc,landscapeRiskIndex,infestationShare,DRSiCell,SSSiCell,ADSiCell,WISiCell
0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102,0.01,0,0.0021,0.1181,0.1373,0.0102,0.0014,0.002,0.167,0.167,0.167,0.5
0,1,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102,0.01,0,0.0023,0.1468,0.1373,0.0102,0.0014,0.002,0.167,0.167,0.167,0.5
0,2,2,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102,0.01,0,0.0023,0.1468,0.1373,0.0102,0.0014,0.002,0.167,0.167,0.167,0.5
0,3,3,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102,0.01,0,0.0023,0.1468,0.1373,0.0102,0.0014,0.002,0.167,0.167,0.167,0.5
0,4,4,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102,0.01,0,0.0023,0.1468,0.1373,0.0102,0.0014,0.002,0.167,0.167,0.167,0.5
0,5,5,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102,0.01,0,0.0023,0.1468,0.1373,0.0102,0.0014,0.002,0.167,0.167,0.167,0.5
0,6,6,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102,0.01,0,0.0023,0.1468,0.1373,0.0102,0.0014,0.002,0.167,0.167,0.167,0.5
0,7,7,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102,0.01,0,0.0025,0.1759,0.1373,0.0102,0.0014,0.002,0.167,0.167,0.167,0.5
0,8,8,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102,0.01,0,0.0025,0.1759,0.1373,0.0102,0.0014,0.002,0.167,0.167,0.167,0.5
0,9,9,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102,0.01,0,0.0025,0.1759,0.1373,0.0102,0.0014,0.002,0.167,0.167,0.167,0.5
0,10,10,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102,0.01,0,0.0025,0.1759,0.1373,0.0102,0.0014,0.002,0.167,0.167,0.167,0.5
0,11,11,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102,0.01,0,0.0025,0.1759,0.1373,0.0102,0.0014,0.002,0.167,0.167,0.167,0.5
0,12,12,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102,0.01,0,0.0025,0.1759,0.1373,0.0102,0.0014,0.002,0.167,0.167,0.167,0.5
0,13,13,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102,0.01,0,0.0025,0.1759,0.1373,0.0102,0.0014,0.002,0.167,0.167,0.167,0.5
0,14,14,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102,0.01,0,0.0029,0.213,0.1373,0.0102,0.0014,0.002,0.167,0.167,0.167,0.5
0,15,15,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102,0.01,0,0.0029,0.213,0.1373,0.0102,0.0014,0.002,0.167,0.167,0.167,0.5
0,16,16,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102,0.01,0,0.0029,0.213,0.1373,0.0102,0.0014,0.002,0.167,0.167,0.167,0.5
0,17,17,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102,0.01,0,0.0029,0.213,0.1373,0.0102,0.0014,0.002,0.167,0.167,0.167,0.5
0,18,18,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102,0.01,0,0.0029,0.213,0.1373,0.0102,0.0014,0.002,0.167,0.167,0.167,0.5
0,19,19,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102,0.01,0,0.0032,0.2477,0.1373,0.0102,0.0014,0.002,0.167,0.167,0.167,0.5
0,20,20,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102,0.01,0,0.0032,0.2477,0.1373,0.0102,0.0014,0.002,0.167,0.167,0.167,0.5
0,21,21,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102,0.01,0,0.0032,0.2477,0.1373,0.0102,0.0014,0.002,0.167,0.167,0.167,0.5
0,22,22,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102,0.01,0,0.0032,0.2477,0.1373,0.0102,0.0014,0.002,0.167,0.167,0.167,0.5
0,23,23,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102,0.01,0,0.0032,0.2477,0.1373,0.0102,0.0014,0.002,0.167,0.167,0.167,0.5
0,24,24,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102,0.01,0,0.0032,0.2477,0.1373,0.0102,0.0014,0.002,0.167,0.167,0.167,0.5
0,25,25,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102,0.01,0,0.0032,0.2477,0.1373,0.0102,0.0014,0.002,0.167,0.167,0.167,0.5
0,26,26,0.0019,False,0.032,0,0.1827,0.1827,0,0.01,0.0367,0.0917,114,0.9936,0,0,0,0.0102,0.01,0,0.0044,0.3386,0.1373,0.0102,0.0014,0.002,0.167,0.167,0.167,0.5
0,27,27,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102,0.01,0,0.0044,0.3386,0.1373,0.0102,0.0014,0.002,0.167,0.167,0.167,0.5
0,28,28,0.0019,False,0.032,0,0.1828,0.1828,0,0.01,0.0397,0.0923,114,0.9936,0,0,0,0.0102,0.01,0,0.0044,0.3386,0.1373,0.0102,0.0014,0.002,0.167,0.167,0.167,0.5
0,29,29,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102,0.01,0,0.0044,0.3386,0.1373,0.0102,0.0014,0.002,0.167,0.167,0.167,0.5
0,30,30,0.0019,False,0.096,0,0.1848,0.1848,0,0.01,0.0819,0.104,114,0.9936,0,0,0,0.0102,0.01,0,0.0044,0.3386,0.1373,0.0102,0.0014,0.002,0.167,0.167,0.167,0.5
0,31,31,0.0022,False,1.5397,0,0.2173,0.2173,0,0.01,0.2727,0.299,114,0.9936,0,0,0,0.0102,0.01,0,0.0054,0.4039,0.1373,0.0102,0.0014,0.002,0.167,0.167,0.167,0.5
0,32,32,0.0033,False,4.1308,0,0.3271,0.3271,0,0.01,1,0.9887,97.3333,0.9618,0,0,0,0.0102,0.01,0,0.0054,0.4039,0.1373,0.0102,0.0014,0.002,0.167,0.167,0.167,0.5
0,33,33,0.0023,False,1.6038,0,0.2247,0.2247,0,0.01,0.2971,0.3434,114,0.9936,0,0,0,0.0102,0.01,0,0.0054,0.4039,0.1373,0.0102,0.0014,0.002,0.167,0.167,0.167,0.5
0,34,34,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102,0.01,0,0.0054,0.4039,0.1373,0.0102,0.0014,0.002,0.167,0.167,0.167,0.5
0,35,35,0.0027,False,2.7227,0,0.2683,0.2683,0,0.01,0.4299,0.6047,114,0.9936,0,0,0,0.0102,0.01,0,0.0054,0.4039,0.1373,0.0102,0.0014,0.002,0.167,0.167,0.167,0.5
0,36,36,0.0028,False,2.369,0,0.275,0.275,0,0.01,0.4521,0.6448,114,0.9936,0,0,0,0.0102,0.01,0,0.0054,0.4039,0.1373,0.0102,0.0014,0.002,0.167,0.167,0.167,0.5
0,37,37,0.0024,False,1.6038,0,0.2336,0.2336,0,0.01,0.3246,0.3965,114,0.9936,0,0,0,0.0102,0.01,0,0.0054,0.4039,0.1373,0.0102,0.0014,0.002,0.167,0.167,0.167,0.5
0,38,38,0.0025,False,2.497,0,0.2466,0.2466,0,0.01,0.3634,0.4744,114,0.9936,0,0,0,0.0102,0.01,0,0.0067,0.4702,0.1373,0.0102,0.0014,0.002,0.167,0.167,0.167,0.5
0,39,39,0.0026,False,3.3302,0,0.2584,0.2584,0,0.01,0.399,0.5455,114,0.9936,0,0,0,0.0102,0.01,0,0.0067,0.4702,0.1373,0.0102,0.0014,0.002,0.167,0.167,0.167,0.5
0,40,40,0.0026,False,3.1132,0,0.2595,0.2595,0,0.01,0.4023,0.5519,114,0.9936,0,0,0,0.0102,0.01,0,0.0067,0.4702,0.1373,0.0102,0.0014,0.002,0.167,0.167,0.167,0.5
0,41,41,0,False,0,0,0,0,0.0032,0,0,0,0,0,0,0,0,0.0102,0.01,0,0.0067,0.4702,0.1373,0.0102,0.0014,0.002,0.167,0.167,0.167,0.5
0,42,42,0.0022,False,1.8728,0,0.2163,0.2163,0,0.01,0.2692,0.2929,114,0.9936,0,0,0,0.0102,0.01,0,0.0067,0.4702,0.1373,0.0102,0.0014,0.002,0.167,0.167,0.167,0.5
0,43,43,0.0026,False,2.7467,0,0.2549,0.2549,0,0.01,0.3883,0.5243,114,0.9936,0,0,0,0.0102,0.01,0,0.0067,0.4702,0.1373,0.0102,0.0014,0.002,0.167,0.167,0.167,0.5
