ManagementAreaId,Begin,End,Interval,Years,Target,Rank,HarvestedAreaOnly,MinBiomass,MinDensity,Browse,LastPlanting,PlantingMask_SpeciesPlanting_Name,PlantingMask_SpeciesPlanting_BiomassPlant,PlantingMask_SpeciesPlanting_DensityPlant
2,0,10009,20,21#51#81,1,BIOMASS,0,1000,10000,true,5,piceabie,20,200
2,0,10009,20,,1,BIOMASS,0,1000,10000,true,5,larideci,20,200
