row,col,cell,cellRiskIndex,infestedFlag,beetleHostBiomass,biomassBeetleKilled,susceptibilityLocal,susceptibilityIndex,beetleDroughtIndex,siDrought,beetleHostShare,siBeetleHost,DominantHostAgeOrMeanHostDBH,SiAgeOrDBH,windthrowBeetleHostBiomass,siWindLocal,siWind,beetlePressureIndex,bpiBase,beetleDamageIndex,beetleGenerationsIndex,relDegreeDays,susceptibilityLsc,beetlePressureLsc,landscapeRiskIndex,infestationShare,DRSiCell,SSSiCell,ADSiCell,WISiCell
0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.0014,0,0.1291,0.01,0.0013,0.0014,0.167,0.167,0.167,0.5
0,1,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.0015,0.0093,0.1291,0.01,0.0013,0.0014,0.167,0.167,0.167,0.5
0,2,2,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.0015,0.0093,0.1291,0.01,0.0013,0.0014,0.167,0.167,0.167,0.5
0,3,3,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.0015,0.0093,0.1291,0.01,0.0013,0.0014,0.167,0.167,0.167,0.5
0,4,4,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.0015,0.0093,0.1291,0.01,0.0013,0.0014,0.167,0.167,0.167,0.5
0,5,5,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.0015,0.0093,0.1291,0.01,0.0013,0.0014,0.167,0.167,0.167,0.5
0,6,6,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.0015,0.0093,0.1291,0.01,0.0013,0.0014,0.167,0.167,0.167,0.5
0,7,7,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.0015,0.0139,0.1291,0.01,0.0013,0.0014,0.167,0.167,0.167,0.5
0,8,8,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.0015,0.0139,0.1291,0.01,0.0013,0.0014,0.167,0.167,0.167,0.5
0,9,9,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.0015,0.0139,0.1291,0.01,0.0013,0.0014,0.167,0.167,0.167,0.5
0,10,10,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.0015,0.0139,0.1291,0.01,0.0013,0.0014,0.167,0.167,0.167,0.5
0,11,11,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.0015,0.0139,0.1291,0.01,0.0013,0.0014,0.167,0.167,0.167,0.5
0,12,12,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.0015,0.0139,0.1291,0.01,0.0013,0.0014,0.167,0.167,0.167,0.5
0,13,13,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.0015,0.0139,0.1291,0.01,0.0013,0.0014,0.167,0.167,0.167,0.5
0,14,14,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.0015,0.0185,0.1291,0.01,0.0013,0.0014,0.167,0.167,0.167,0.5
0,15,15,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.0015,0.0185,0.1291,0.01,0.0013,0.0014,0.167,0.167,0.167,0.5
0,16,16,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.0015,0.0185,0.1291,0.01,0.0013,0.0014,0.167,0.167,0.167,0.5
0,17,17,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.0015,0.0185,0.1291,0.01,0.0013,0.0014,0.167,0.167,0.167,0.5
0,18,18,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.0015,0.0185,0.1291,0.01,0.0013,0.0014,0.167,0.167,0.167,0.5
0,19,19,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.0015,0.0232,0.1291,0.01,0.0013,0.0014,0.167,0.167,0.167,0.5
0,20,20,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.0015,0.0232,0.1291,0.01,0.0013,0.0014,0.167,0.167,0.167,0.5
0,21,21,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.0015,0.0232,0.1291,0.01,0.0013,0.0014,0.167,0.167,0.167,0.5
0,22,22,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.0015,0.0232,0.1291,0.01,0.0013,0.0014,0.167,0.167,0.167,0.5
0,23,23,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.0015,0.0232,0.1291,0.01,0.0013,0.0014,0.167,0.167,0.167,0.5
0,24,24,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.0015,0.0232,0.1291,0.01,0.0013,0.0014,0.167,0.167,0.167,0.5
0,25,25,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.0015,0.0232,0.1291,0.01,0.0013,0.0014,0.167,0.167,0.167,0.5
0,26,26,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.0016,0.028,0.1291,0.01,0.0013,0.0014,0.167,0.167,0.167,0.5
0,27,27,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.0016,0.028,0.1291,0.01,0.0013,0.0014,0.167,0.167,0.167,0.5
0,28,28,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.0016,0.028,0.1291,0.01,0.0013,0.0014,0.167,0.167,0.167,0.5
0,29,29,0.0018,False,0.0231,0,0.1805,0.1805,0,0.01,0.008,0.0871,106,0.9847,0,0,0,0.01,0.01,0,0.0016,0.028,0.1291,0.01,0.0013,0.0014,0.167,0.167,0.167,0.5
0,30,30,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.0016,0.028,0.1291,0.01,0.0013,0.0014,0.167,0.167,0.167,0.5
0,31,31,0.0024,False,3.6654,0,0.2388,0.2388,0,0.01,0.3372,0.4215,209,1,0,0,0,0.01,0.01,0,0.0018,0.0709,0.1291,0.01,0.0013,0.0014,0.167,0.167,0.167,0.5
0,32,32,0.0033,False,8.5772,0,0.3335,0.3335,0,0.01,1,0.9887,199,1,0,0,0,0.01,0.01,0,0.0018,0.0709,0.1291,0.01,0.0013,0.0014,0.167,0.167,0.167,0.5
0,33,33,0.0021,False,2.4344,0,0.2067,0.2067,0,0.01,0.229,0.2292,209,1,0,0,0,0.01,0.01,0,0.0018,0.0709,0.1291,0.01,0.0013,0.0014,0.167,0.167,0.167,0.5
0,34,34,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.0018,0.0709,0.1291,0.01,0.0013,0.0014,0.167,0.167,0.167,0.5
