id,row,col,cell,xcoord,ycoord,landtype,elevation,species,age,biomass,stems,slowGrowth,slowGrowthLight,slowGrowthWater,slowGrowthTemp,dbh,height,availableLight,light_rf,leafArea,droughtIndex,moisture_rf,degreeDay_rf,foliageWght,twigWght,boleWght,deadFoliage,deadTwig,deadbole,mortality
12,0,0,0,9.8,271.8,1,2600,grass,200,0.0065,1,2,0,0,2,0,1,1,1,0.0052,0,1,0.0453,0.0033,0,0,0.0123,0.0033,0.0047,0
13,0,1,1,34.8,271.8,1,2500,grass,200,0.009,1,1,0,0,1,0,1,1,1,0.0093,0,1,0.0991,0.0045,0,0,0.0156,0.0147,0,0
14,0,2,2,59.8,271.8,1,2500,grass,200,0.0091,1,1,0,0,1,0,1,1,1,0.0093,0,1,0.0991,0.0045,0,0,0.0158,0,0,0
15,0,3,3,84.8,271.8,1,2500,grass,200,0.0091,1,1,0,0,1,0,1,1,1,0.0093,0,1,0.0991,0.0045,0,0,0.0158,0,0,0
16,0,4,4,109.8,271.8,1,2500,grass,200,0.0072,1,4,3,0,1,0,1,0.4614,0.2455,1.5531,0,1,0.0991,0.0036,0,0,0.3094,1.8487,0,0
21671,0,4,4,109.8,271.8,1,2500,alnuviri,4,0.0101,115,4,4,0,2,6.3347,3.6171,0.4785,0,1.5531,0,1,0.0083,0.0005,0.0096,0,0.3094,1.8487,0,197
17,0,5,5,134.8,271.8,1,2500,grass,200,0.0077,1,2,2,0,1,0,1,0.1925,0.0376,3.3024,0,1,0.0991,0.0039,0,0,0.3189,2.0115,0,0
20890,0,5,5,134.8,271.8,1,2500,alnuviri,11,0.0101,45,2,2,0,2,6.3347,3.6171,0.0288,0,3.3024,0,1,0.0083,0.0005,0.0096,0,0.3189,2.0115,0,267
22081,0,5,5,134.8,271.8,1,2500,alnuviri,2,0.0101,200,2,2,0,2,6.3347,3.6171,0.0288,0,3.3024,0,1,0.0083,0.0005,0.0096,0,0.3189,2.0115,0,22
18,0,6,6,159.8,271.8,1,2500,grass,200,0.0064,1,4,3,0,1,0,1,0.5036,0.3481,1.3771,0,1,0.0991,0.0032,0,0,0.3581,3.2133,0,0
20891,0,6,6,159.8,271.8,1,2500,alnuviri,11,0.0101,20,4,3,0,2,6.3347,3.6171,0.7158,0.4336,1.3771,0,1,0.0083,0.0005,0.0096,0,0.3581,3.2133,0,292
21672,0,6,6,159.8,271.8,1,2500,alnuviri,4,0.0101,82,4,3,0,2,6.3347,3.6171,0.7158,0.4336,1.3771,0,1,0.0083,0.0005,0.0096,0,0.3581,3.2133,0,141
19,0,7,7,184.8,271.8,1,2400,grass,200,0.0084,1,3,3,0,0,0,1,0.2141,0.0973,3.0905,0,1,0.1349,0.0042,0,0,0.412,3.1208,0,0
18377,0,7,7,184.8,271.8,1,2400,alnuviri,26,0.0101,2,1,0,0,1,6.3401,3.6177,0.5209,0.6338,3.0905,0,1,0.0477,0.0005,0.0096,0,0.412,3.1208,0,234
20388,0,7,7,184.8,271.8,1,2400,alnuviri,13,0.0101,39,1,0,0,1,6.3292,3.6164,0.2969,0.3328,3.0905,0,1,0.0477,0.0005,0.0096,0,0.412,3.1208,0,260
21250,0,7,7,184.8,271.8,1,2400,alnuviri,7,0.0101,92,1,0,0,1,6.3292,3.6164,0.2969,0.3328,3.0905,0,1,0.0477,0.0005,0.0096,0,0.412,3.1208,0,89
21918,0,7,7,184.8,271.8,1,2400,alnuviri,3,0.0102,96,1,0,0,1,6.3492,3.6188,0.6417,0.7344,3.0905,0,1,0.0477,0.0005,0.0097,0,0.412,3.1208,0,15
20,0,8,8,209.8,271.8,1,2400,grass,200,0.0089,1,0,0,0,0,0,1,0.2671,0.1114,2.649,0,1,0.1349,0.0045,0,0,0.3836,2.8777,0.0028,0
20892,0,8,8,209.8,271.8,1,2400,pinucemb,11,0.0102,12,2,0,0,2,7.6699,6.8013,0.9589,0.9837,2.649,0,1,0,0.0025,0.0077,0.0001,0.3836,2.8777,0.0028,34
18378,0,8,8,209.8,271.8,1,2400,alnuviri,26,0.0101,4,1,0,0,1,6.3401,3.6177,0.3755,0.3716,2.649,0,1,0.0477,0.0005,0.0096,0,0.3836,2.8777,0.0028,239
20389,0,8,8,209.8,271.8,1,2400,alnuviri,13,0.0101,48,1,0,0,1,6.3292,3.6164,0.3316,0.316,2.649,0,1,0.0477,0.0005,0.0096,0,0.3836,2.8777,0.0028,243
21673,0,8,8,209.8,271.8,1,2400,alnuviri,4,0.0102,125,4,3,0,1,6.3492,3.6188,0.3499,0.1413,2.649,0,1,0.0477,0.0005,0.0097,0,0.3836,2.8777,0.0028,53
21,0,9,9,234.8,271.8,1,2400,grass,200,0.0097,1,0,0,0,0,0,1,0.2278,0.1223,2.9691,0,1,0.1349,0.0048,0,0,0.3868,2.6409,0,0
21675,0,9,9,234.8,271.8,1,2400,larideci,4,0.0103,67,2,0,0,2,6.3856,6.2292,0.8604,0.8954,2.9691,0,1,0,0.0005,0.0098,0,0.3868,2.6409,0,2
18379,0,9,9,234.8,271.8,1,2400,alnuviri,26,0.0101,2,1,0,0,1,6.3401,3.6177,0.3605,0.4436,2.9691,0,1,0.0477,0.0005,0.0096,0,0.3868,2.6409,0,249
21008,0,9,9,234.8,271.8,1,2400,alnuviri,10,0.0101,67,1,0,0,1,6.3292,3.6164,0.308,0.3684,2.9691,0,1,0.0477,0.0005,0.0096,0,0.3868,2.6409,0,233
21674,0,9,9,234.8,271.8,1,2400,alnuviri,4,0.0102,83,1,0,0,1,6.3492,3.6188,0.4787,0.5755,2.9691,0,1,0.0477,0.0005,0.0097,0,0.3868,2.6409,0,16
22,0,10,10,259.8,271.8,1,2400,grass,200,0.0099,1,0,0,0,0,0,1,0.4634,0.3642,1.5493,0,1,0.1349,0.005,0,0,0.3468,3.502,0,0
